Flight Count,Year,Month,Week,Day,Day of Week,Holiday
3034,2018,10,42,21,Sun,
3211,2018,10,43,22,Mon,
3085,2018,10,43,23,Tue,
3105,2018,10,43,24,Wed,
3213,2018,10,43,25,Thu,
3205,2018,10,43,26,Fri,
2472,2018,10,43,27,Sat,
2866,2018,10,43,28,Sun,
3003,2018,10,44,29,Mon,
2801,2018,10,44,30,Tue,
2466,2018,10,44,31,Wed,
3021,2018,11,44,1,Thu,
3052,2018,11,44,2,Fri,
2445,2018,11,44,3,Sat,
2947,2018,11,44,4,Sun,
3093,2018,11,45,5,Mon,
2925,2018,11,45,6,Tue,
2996,2018,11,45,7,Wed,
3151,2018,11,45,8,Thu,
3141,2018,11,45,9,Fri,
2441,2018,11,45,10,Sat,
2981,2018,11,45,11,Sun,Veterans Day
3172,2018,11,46,12,Mon,Veterans Day (observed)
3070,2018,11,46,13,Tue,
3081,2018,11,46,14,Wed,
3190,2018,11,46,15,Thu,
3171,2018,11,46,16,Fri,
2520,2018,11,46,17,Sat,
2863,2018,11,46,18,Sun,
2968,2018,11,47,19,Mon,
3028,2018,11,47,20,Tue,
3183,2018,11,47,21,Wed,
1910,2018,11,47,22,Thu,Thanksgiving
2295,2018,11,47,23,Fri,
3063,2018,11,47,24,Sat,
3359,2018,11,47,25,Sun,
3232,2018,11,48,26,Mon,
2995,2018,11,48,27,Tue,
2945,2018,11,48,28,Wed,
3048,2018,11,48,29,Thu,
3059,2018,11,48,30,Fri,
2355,2018,12,48,1,Sat,
2867,2018,12,48,2,Sun,
2982,2018,12,49,3,Mon,
2847,2018,12,49,4,Tue,
2935,2018,12,49,5,Wed,
3057,2018,12,49,6,Thu,
3061,2018,12,49,7,Fri,
2356,2018,12,49,8,Sat,
2865,2018,12,49,9,Sun,
2984,2018,12,50,10,Mon,
2856,2018,12,50,11,Tue,
2926,2018,12,50,12,Wed,
3060,2018,12,50,13,Thu,
3062,2018,12,50,14,Fri,
2361,2018,12,50,15,Sat,
2871,2018,12,50,16,Sun,
2991,2018,12,51,17,Mon,
2922,2018,12,51,18,Tue,
3082,2018,12,51,19,Wed,
3088,2018,12,51,20,Thu,
3067,2018,12,51,21,Fri,
2789,2018,12,51,22,Sat,
2936,2018,12,51,23,Sun,
2382,2018,12,52,24,Mon,
2406,2018,12,52,25,Tue,Christmas Day
3016,2018,12,52,26,Wed,
3027,2018,12,52,27,Thu,
3015,2018,12,52,28,Fri,
2774,2018,12,52,29,Sat,
2954,2018,12,52,30,Sun,
2486,2018,12,1,31,Mon,
2672,2019,1,1,1,Tue,New Year's Day
